,Subtitle,Title,Date,URL,Location_Tag,Topic_Tag
603,Press release,Ukraine: EU countries to receive €3.5 billion in additional pre-financing for hosting refugees,12.04.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/04/12/ukraine-increased-financing,Ukraine,Ukraine
604,Speech/Remark,Ukraine: Press remarks by High Representative Josep Borrell after the meeting with President Zelenskyy in Kyiv,08.04.2022,https://www.eeas.europa.eu/eeas/ukraine-press-remarks-high-representative-josep-borrell-after-meeting-president-zelenskyy-kyiv_en,Ukraine,Ukraine
605,Press release,Ukraine: EU resumes its diplomatic presence in Kyiv,08.04.2022,https://www.eeas.europa.eu/eeas/ukraine-eu-resumes-its-diplomatic-presence-kyiv_en,Ukraine,Ukraine
606,Speech/Remark,Russia: Speech on behalf of High Representative/Vice-President Josep Borrell at the EP debate on internal repressions,06.04.2022,https://www.eeas.europa.eu/eeas/russia-speech-behalf-high-representativevice-president-josep-borrell-ep-debate-internal-repressions_en,Ukraine,Ukraine
607,Speech/Remark,Russia/Ukraine: Speech by High Representative/Vice-President Josep Borrell at the EP plenary,06.04.2022,https://www.eeas.europa.eu/eeas/russiaukraine-speech-high-representativevice-president-josep-borrell-ep-plenary_en,Ukraine,Ukraine
608,Statement/Declaration,Ukraine: Declaration by the High Representative on behalf of the EU on Russian atrocities committed in Bucha and other Ukrainian towns,05.04.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/04/04/ukraine-declaration-by-the-high-representative-on-behalf-of-the-eu-on-russian-atrocities-committed-in-bucha-and-other-ukrainian-towns/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Ukraine%3a+Declaration+by+the+High+Representative+on+behalf+of+the+EU+on+Russian+atrocities+committed+in+Bucha+and+other+Ukrainian+towns,Ukraine,Ukraine
609,Press release,EU-China summit: Restoring peace and stability in Ukraine is a shared responsibility,01.04.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/04/01/eu-china-summit-restoring-peace-and-stability-in-ukraine-is-a-shared-responsibility,Ukraine,Ukraine
610,Statement/Declaration,Ukraine: Statement by the Spokesperson on the conscription to the Russian Army in Crimea and Sevastopol,01.04.2022,https://www.eeas.europa.eu/eeas/ukraine-statement-spokesperson-conscription-russian-army-crimea-and-sevastopol_en,Ukraine,Ukraine
611,Statement/Declaration,Russia/Ukraine: Statement by the High Representative Josep Borrell on the shelling of the EU Advisory Mission Field office,30.03.2022,https://www.eeas.europa.eu/delegations/ukraine/russiaukraine-statement-high-representative-josep-borrell-shelling-eu-advisory_en,Ukraine,Ukraine
612,Press release,Stand Up For Ukraine: global pledging event for refugees and internally displaced people taking place in Warsaw on 9 April 2022,30.03.2022,https://www.eeas.europa.eu/delegations/ukraine/stand-ukraine-global-pledging-event-refugees-and-internally-displaced-people_en,Ukraine,Ukraine
613,Press release,"Commission urges Member States to act on ‘golden passports' and ‘golden residence permits' schemes, and to take immediate steps in the context of the Russian invasion of Ukraine",30.03.2022,https://www.eeas.europa.eu/delegations/ukraine/commission-urges-member-states-act-%E2%80%98golden-passports-and-%E2%80%98golden-residence_en,Ukraine,Ukraine
614,Statement/Declaration,Russia/Ukraine: Statement by the High Representative Josep Borrell on the shelling of the EU Advisory Mission Field office,29.03.2022,https://www.eeas.europa.eu/eeas/russiaukraine-statement-high-representative-josep-borrell-shelling-eu-advisory-mission-field-office_en,Ukraine,Ukraine
615,Council conclusions,"European Council conclusions on the Russian military aggression against Ukraine, 24 March 2022",29.03.2022,https://www.eeas.europa.eu/delegations/ukraine/european-council-conclusions-russian-military-aggression-against-ukraine-24_en,Ukraine,Ukraine
616,Speech/Remark,Report by President Charles Michel to the European Parliament plenary session,29.03.2022,https://www.eeas.europa.eu/delegations/ukraine/report-president-charles-michel-european-parliament-plenary-session_en,Ukraine,Ukraine
617,Press release,Kuwait: High Representative Josep Borrell discussed bilateral partnership and regional consequences of Russia’s war in Ukraine,27.03.2022,https://www.eeas.europa.eu/eeas/kuwait-high-representative-josep-borrell-discussed-bilateral-partnership-and-regional-consequences_en,Ukraine,Ukraine
618,Statement/Declaration,G7 Leaders’ Statement,25.03.2022,https://www.eeas.europa.eu/delegations/ukraine/g7-leaders%E2%80%99-statement_en,Ukraine,Ukraine
619,Statement/Declaration,World Water Day: Joint Statement by the High Representative/Vice-President Josep Borrell and Commissioner Virginijus Sinkevičius,23.03.2022,https://www.eeas.europa.eu/delegations/ukraine/world-water-day-joint-statement-high-representativevice-president-josep-borrell_en,Ukraine,Ukraine
620,Statement/Declaration,Council of Europe: Statement by the High Representative on the cessation of Russia's membership,17.03.2022,https://www.eeas.europa.eu/eeas/council-europe-statement-high-representative-cessation-russias-membership_en,Ukraine,Ukraine
621,Press release,HR/VP Borrell and Commissioner Várhelyi in the Republic of Moldova as part of an extensive outreach to partners affected by the Russian invasion of Ukraine,04.03.2022,https://www.eeas.europa.eu/eeas/hrvp-borrell-and-commissioner-v%C3%A1rhelyi-republic-moldova-part-extensive-outreach-partners-affected_en,Ukraine,Ukraine
622,Press release,Ukraine: High Representative Borrell discussed evolving situation with Foreign Minister Kuleba,19.01.2022,https://www.eeas.europa.eu/eeas/ukraine-high-representative-borrell-discussed-evolving-situation-foreign-minister-kuleba_en,Ukraine,Ukraine
623,Statement/Declaration,Ukraine: Statement by the Spokesperson on the Russian decree on simplified trade measures in violation of Ukraine’s sovereignty and territorial integrity,24.11.2021,https://www.eeas.europa.eu/eeas/ukraine-statement-spokesperson-russian-decree-simplified-trade-measures-violation-ukraine%E2%80%99s_en,Ukraine,Ukraine
624,Statement/Declaration,Ukraine: Statement by the Spokesperson on the census and conscription campaign in Crimea,15.10.2021,https://www.eeas.europa.eu/eeas/ukraine-statement-spokesperson-census-and-conscription-campaign-crimea_en,Ukraine,Ukraine
625,Press release,EU-Southern Neighbourhood: Closing the gaps between and along the two shores of the Mediterranean,26.11.2022,https://www.eeas.europa.eu/eeas/eu-southern-neighbourhood-closing-gaps-between-and-along-two-shores-mediterranean_en,Ukraine,Union for the Mediterranean (UfM)
626,Statement/Declaration,World Humanitarian Day: Statement by the High Representative/Vice-President Josep Borrell and Commissioner Janez Lenarčič,19.08.2022,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/world-humanitarian-day-statement-high-representativevice-president-josep-borrell-and-commissioner-2022-08-18_en,Ukraine,United Nations (UN)
627,Statement/Declaration,BiH: Statement by High Representative/Vice-President Josep Borrell and Commissioner Olivér Várhelyi on the 27th anniversary of the Srebrenica genocide,10.07.2022,https://www.eeas.europa.eu/eeas/bih-statement-high-representativevice-president-josep-borrell-and-commissioner-oliv%C3%A9r-v%C3%A1rhelyi-27th_en,Ukraine,Western Balkans
628,Statement/Declaration,North Macedonia: Joint Statement by High Representative/Vice-President Josep Borrell and Secretary of State Antony Blinken on support for opening EU Accession Negotiations,09.07.2022,https://www.eeas.europa.eu/eeas/north-macedonia-joint-statement-high-representativevice-president-josep-borrell-and-secretary-state_en,Ukraine,Western Balkans
629,Press release,Western Balkans and Turkey: Joint conclusions of the economic and financial dialogue of 24 May 2022,25.05.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/05/25/western-balkans-and-turkey-joint-conclusions-of-the-economic-and-financial-dialogue-of-24-may-2022,Ukraine,Western Balkans || Western Balkans Strategy
630,Speech/Remark,Foreign Affairs Council: Remarks by High Representative Josep Borrell at the press conference,16.05.2022,https://www.eeas.europa.eu/eeas/foreign-affairs-council-remarks-high-representative-josep-borrell-press-conference-1_en,Ukraine,Western Balkans
